elapsed_s,temp_c,cpu_pct,mem_mb,power_w
1,85.3,23.0,,
2,85.3,15.4,,
3,85.3,21.3,,
4,85.3,35.2,,
5,84.8,29.2,,
6,85.3,22.7,,
7,84.8,12.8,,
8,85.3,17.8,,
9,84.8,37.0,,
10,86.5,29.1,,
11,84.8,19.5,,
12,85.3,14.3,,
13,85.9,22.6,,
14,84.8,34.4,,
15,85.3,29.9,,
17,85.3,17.6,,
18,85.3,13.4,,
19,84.2,28.1,,
20,84.2,26.1,,
21,84.2,27.3,,
22,83.7,13.3,,
23,84.2,15.2,,
24,83.7,25.7,,
25,84.2,23.0,,
26,83.2,22.5,,
27,81.5,12.2,,
28,83.2,16.1,,
29,82.6,28.4,,
30,82.6,23.2,,
31,81.0,19.3,,
32,80.4,12.8,,
33,79.8,18.9,,
34,81.0,30.9,,
35,81.0,22.6,,
36,80.4,17.4,,
37,78.8,13.2,,
38,78.8,15.3,,
39,79.8,29.0,,
40,78.8,23.3,,
41,77.7,17.0,,
42,78.8,12.5,,
43,78.2,18.8,,
44,78.2,28.2,,
45,78.8,22.3,,
46,77.7,14.3,,
48,77.7,12.2,,
49,78.2,25.1,,
50,77.1,23.5,,
51,76.0,23.0,,
52,75.5,12.4,,
53,76.5,12.2,,
54,74.9,14.6,,
55,73.8,26.5,,
56,74.9,22.3,,
57,75.5,22.5,,
58,74.3,18.5,,
59,74.9,15.9,,
60,74.9,27.9,,
61,73.8,23.8,,
62,73.2,22.7,,
63,73.8,15.1,,
64,72.7,20.5,,
65,73.2,30.6,,
66,72.7,22.0,,
67,73.2,23.7,,
68,72.2,15.4,,
69,73.2,17.2,,
70,71.6,26.7,,
71,71.0,22.5,,
72,71.6,23.2,,
73,71.6,14.4,,
74,71.0,22.7,,
75,71.0,24.3,,
77,71.0,24.1,,
78,70.5,22.4,,
79,71.6,15.4,,
80,70.5,23.6,,
81,70.0,23.1,,
82,70.5,23.0,,
83,68.8,21.4,,
84,68.3,16.1,,
85,69.4,25.8,,
86,70.0,23.8,,
87,68.8,22.8,,
88,68.3,17.3,,
89,68.8,15.2,,
90,68.8,26.1,,
91,67.2,21.9,,
92,68.3,22.7,,
93,68.3,18.0,,
94,68.3,18.7,,
95,67.8,28.4,,
96,67.2,22.1,,
97,66.7,24.1,,
98,66.1,16.4,,
99,67.2,14.7,,
100,67.2,28.4,,
101,66.1,22.4,,
102,66.1,22.2,,
103,65.5,16.2,,
104,66.1,19.6,,
105,66.1,29.4,,
106,65.0,24.3,,
107,65.0,22.1,,
108,66.1,13.0,,
109,65.5,23.6,,
110,65.0,22.5,,
111,65.0,22.6,,
113,64.5,21.1,,
114,65.0,11.3,,
115,63.9,13.1,,
116,63.4,13.8,,
117,62.8,12.7,,
118,62.2,12.6,,
119,62.2,15.1,,
120,61.7,13.1,,
121,62.2,11.9,,
122,61.7,11.7,,
123,62.8,11.8,,
124,60.0,14.6,,
