elapsed_s,temp_c,clock_mhz,throttled_now,fc_temp_c,cpu_pct,mem_mb,power_w
1,83.2,2256,0,,11.9,,
2,83.7,2201,0,,11.3,,
3,84.2,2146,1,,12.6,,
4,83.2,2256,0,,12.0,,
5,83.7,1601,0,,11.3,,
6,82.6,1611,0,,12.2,,
7,83.7,1601,0,,12.9,,
8,82.6,1611,0,,11.8,,
9,83.7,1601,0,,14.3,,
10,83.7,1500,0,,12.7,,
11,82.6,1611,0,,12.7,,
12,82.6,1611,0,,12.7,,
13,82.6,1611,0,,13.6,,
14,82.6,1611,0,,13.2,,
15,83.2,1556,0,,13.2,,
16,83.2,1556,0,,13.6,,
17,83.2,1556,0,,14.5,,
18,83.2,1656,0,,13.7,,
19,83.7,1500,0,,13.4,,
20,83.2,1656,0,,13.3,,
22,83.2,1556,0,,11.6,,
23,81.5,1800,0,,14.9,,
24,78.2,1700,0,,12.1,,
25,77.1,1800,0,,12.1,,
26,76.0,2400,0,,17.0,,
27,76.0,2400,0,,11.9,,
28,76.0,2400,0,,12.0,,
29,74.9,2400,0,,12.2,,
30,72.7,2400,0,,12.8,,
31,72.7,1800,0,,12.8,,
32,70.0,1800,0,,14.5,,
33,68.3,1800,0,,13.5,,
34,65.5,1800,0,,14.4,,
35,65.0,1800,0,,13.2,,
36,64.5,1900,0,,14.4,,
37,63.4,1800,0,,14.6,,
38,63.9,1700,0,,13.0,,
39,62.2,1700,0,,13.4,,
40,61.1,1700,0,,13.2,,
41,60.6,1700,0,,14.1,,
42,59.5,1900,0,,14.4,,
43,59.5,1700,0,,13.5,,
44,59.0,1700,0,,13.7,,
45,57.3,1700,0,,13.2,,
46,56.8,1800,0,,14.6,,
47,56.2,1700,0,,14.9,,
48,56.8,1700,0,,16.0,,
49,56.8,2400,0,,33.3,,
50,57.9,2400,0,,22.6,,
51,57.3,2400,0,,22.9,,
52,54.5,2400,0,,12.7,,
53,55.6,1800,0,,12.4,,
54,54.5,1700,0,,13.7,,
55,52.9,1700,0,,13.0,,
57,53.5,2400,0,,16.2,,
58,52.9,2400,0,,11.7,,
59,52.9,2400,0,,14.7,,
60,52.9,2400,0,,12.7,,
61,51.8,2400,0,,11.7,,
62,50.7,1800,0,,13.0,,
63,50.7,1800,0,,14.9,,
64,50.1,1900,0,,13.5,,
65,49.0,1700,0,,12.6,,
66,49.0,1700,0,,13.9,,
67,49.6,1700,0,,13.9,,
68,48.0,1700,0,,13.0,,
69,48.0,1700,0,,13.0,,
70,47.4,1700,0,,14.3,,
71,48.0,1700,0,,12.9,,
72,46.9,1800,0,,13.1,,
73,47.4,1700,0,,15.3,,
74,46.9,1700,0,,14.3,,
75,46.9,2400,0,,12.8,,
76,47.4,2400,0,,11.8,,
77,46.3,2400,0,,12.4,,
78,46.9,2400,0,,12.7,,
79,46.3,2400,0,,13.9,,
80,46.9,1800,0,,13.2,,
81,46.3,1700,0,,14.0,,
82,45.8,1700,0,,14.8,,
83,45.2,1700,0,,13.1,,
84,45.2,1700,0,,13.8,,
85,44.1,1700,0,,13.9,,
86,44.6,2400,0,,17.2,,
87,45.2,2400,0,,12.7,,
88,44.6,2400,0,,12.1,,
89,45.2,2400,0,,12.2,,
91,45.8,2400,0,,11.3,,
92,44.1,2400,0,,12.6,,
93,44.6,2400,0,,11.7,,
94,44.1,2400,0,,12.8,,
95,45.2,2400,0,,13.0,,
96,44.1,2400,0,,12.7,,
97,43.5,1700,0,,13.3,,
98,43.5,1700,0,,14.4,,
99,44.1,1700,0,,14.5,,
100,43.0,1800,0,,13.1,,
101,43.5,1800,0,,13.0,,
102,43.5,1700,0,,13.5,,
103,43.0,1700,0,,12.5,,
104,42.5,1700,0,,14.1,,
105,42.5,1700,0,,12.6,,
106,41.9,1700,0,,13.2,,
107,41.9,1700,0,,14.1,,
108,42.5,2400,0,,14.4,,
109,43.5,2400,0,,33.9,,
110,44.1,2400,0,,23.2,,
111,44.1,2400,0,,22.0,,
112,43.5,2400,0,,15.3,,
113,43.0,1700,0,,11.6,,
114,41.9,1700,0,,14.3,,
115,41.9,1700,0,,14.1,,
116,43.0,2400,0,,16.2,,
117,42.5,2400,0,,12.4,,
118,43.5,2400,0,,12.7,,
119,43.0,2400,0,,12.5,,
120,43.5,2400,0,,13.3,,
121,40.8,1800,0,,14.3,,
122,42.5,1700,0,,12.8,,
123,41.9,1700,0,,14.3,,
